Epoch,Train_Loss,Val_Loss,Accuracy,Balanced_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_Specificity,AUC_OVR
1,1.1453597983682011,1.0719028998773994,0.5319148936170213,0.3333333333333333,0.1773049645390071,0.3333333333333333,0.23148148148148148,0.6666666660251269,0.6736688336331925
2,1.0744164248546921,1.0457323789596558,0.5602836879432624,0.41160493827160494,0.37777777777777777,0.41160493827160494,0.3889163780306779,0.7356321831059631,0.6554796832262751
3,1.05996137498373,1.0335479382927537,0.5531914893617021,0.40543209876543207,0.3720586257899691,0.40543209876543207,0.383656103286385,0.7305816780631104,0.6723943165055167
4,1.0648179614400288,1.0190284159166594,0.5460992907801419,0.3958024691358024,0.36272141706924316,0.3958024691358024,0.3766384602621537,0.7230929981747863,0.6820854510233464
5,1.0338783537048892,1.0177574707261214,0.5531914893617021,0.4140740740740741,0.38508403361344534,0.4140740740740741,0.3855236421549783,0.737896202599524,0.6669661358603709
6,1.0426850512803318,1.015388420287599,0.5886524822695035,0.41037037037037033,0.38768115942028986,0.41037037037037033,0.39552894211576844,0.7412902068182045,0.6637546572679781
7,1.049810617803091,0.9935641855212813,0.5602836879432624,0.3995061728395062,0.3681953378985958,0.3995061728395062,0.38309806135893093,0.7295650968635042,0.6879932353923266
8,1.036020539611219,0.997174970224394,0.5319148936170213,0.4603703703703704,0.48110047846889953,0.4603703703703704,0.46013986013986014,0.7363531052195924,0.681422067657477
9,1.017182949077652,0.9994319275761328,0.5390070921985816,0.41814814814814816,0.4542042042042042,0.41814814814814816,0.4164402173913044,0.7290993325502119,0.6735968764241062
10,1.0291046212954693,1.016434301721289,0.5177304964539007,0.36419753086419754,0.34266607877718985,0.36419753086419754,0.35306915306915304,0.7066616437564589,0.6480445819686665
11,1.0332624402390904,1.0148031927169638,0.45390070921985815,0.36308641975308636,0.3823853891438372,0.36308641975308636,0.35462215707527656,0.6954549496922585,0.6654647817688002
12,1.0190392431006374,1.01697032502357,0.48226950354609927,0.375679012345679,0.3871241371241371,0.375679012345679,0.37341139783161853,0.7108373219151657,0.642012905796208
13,1.016389066914478,1.0552433839081028,0.375886524822695,0.3755555555555556,0.4177144177144177,0.3755555555555556,0.33530740370581896,0.6991810640351073,0.6363653224153981
14,1.014724732881569,1.0077742811635877,0.5673758865248227,0.38493827160493826,0.3632897603485839,0.38493827160493826,0.3632140615191462,0.7224814294214391,0.6818702154156133
15,1.0160270412284207,1.033008783421618,0.4397163120567376,0.34555555555555556,0.37090036014405764,0.34555555555555556,0.34531908839278785,0.6989907082263986,0.6210536443468814
